Lat,Long
1.341073,103.964867
1.341072,103.964867
1.341072,103.964859
1.341073,103.964859
1.341072,103.964859
1.341073,103.964859
1.341072,103.964859
1.341071,103.964859
1.341072,103.964859
1.341073,103.964859
1.341072,103.964859
1.341073,103.964859
1.341072,103.964859
1.341073,103.964859
1.341072,103.964859
1.341073,103.964859
1.341074,103.964859
1.341074,103.964867
1.341075,103.964867
1.341076,103.964867
1.341075,103.964867
1.341076,103.964867
1.341075,103.964867
1.341074,103.964867
1.341073,103.964859
1.341071,103.964859
1.34107,103.964859
1.341068,103.964859
1.341067,103.964859
1.341065,103.964859
1.341064,103.964851
1.341062,103.964851
1.341061,103.964851
1.341059,103.964851
1.341058,103.964851
1.341056,103.964844
1.341054,103.964844
1.341052,103.964844
1.341051,103.964844
1.341048,103.964844
1.341046,103.964836
1.341044,103.964836
1.341042,103.964836
1.34104,103.964836
1.341038,103.964836
1.341035,103.964828
1.341033,103.964828
1.34103,103.964828
1.341028,103.964828
1.341025,103.964828
1.341023,103.964821
1.341021,103.964821
1.341018,103.964821
1.341016,103.964821
1.34101,103.964813
1.341008,103.964813
1.341005,103.964813
1.341003,103.964813
1.341,103.964813
1.340997,103.964806
1.340995,103.964806
1.340992,103.964806
1.340989,103.964806
1.340987,103.964806
1.340985,103.964798
1.340982,103.964798
1.340979,103.964798
1.340975,103.964798
1.340972,103.964798
1.34097,103.96479
1.340967,103.96479
1.340965,103.96479
1.340962,103.96479
1.34096,103.96479
1.340957,103.96479
1.340955,103.964783
1.340952,103.964783
1.34095,103.964783
1.340947,103.964783
1.340945,103.964783
1.340942,103.964783
1.340937,103.964783
1.340934,103.964783
1.340931,103.964775
1.340929,103.964775
1.340926,103.964775
1.340924,103.964775
1.340918,103.964775
1.340915,103.964775
1.340912,103.964775
1.340909,103.964767
1.340907,103.964767
1.340904,103.964767
1.340901,103.964767
1.340898,103.964767
1.340895,103.964767
1.340893,103.964767
1.34089,103.964767
1.340887,103.964767
1.340884,103.964767
1.340881,103.964767
1.340879,103.964767
1.340876,103.964767
1.340873,103.96476
1.34087,103.96476
1.340868,103.96476
1.340865,103.96476
1.340863,103.96476
1.34086,103.96476
1.340857,103.96476
1.340855,103.96476
1.340852,103.96476
1.340849,103.96476
1.340847,103.96476
1.340844,103.96476
1.340841,103.96476
1.340838,103.96476
1.340835,103.96476
1.340833,103.96476
1.34083,103.96476
1.340827,103.96476
1.340821,103.96476
1.340819,103.96476
1.340816,103.96476
1.340813,103.96476
1.340811,103.96476
1.340808,103.96476
1.340806,103.96476
1.340803,103.96476
1.3408,103.96476
1.340797,103.96476
1.340794,103.96476
1.340791,103.96476
1.340788,103.96476
1.340785,103.96476
1.340782,103.96476
1.34078,103.96476
1.340776,103.96476
1.340773,103.96476
1.340771,103.96476
1.340768,103.96476
1.340765,103.96476
1.340762,103.96476
1.34076,103.96476
1.340757,103.96476
1.340754,103.96476
1.340752,103.96476
1.340749,103.96476
1.340746,103.96476
1.340743,103.96476
1.34074,103.96476
1.340737,103.964767
1.340734,103.964767
1.340731,103.964767
1.340729,103.964767
1.340726,103.964767
1.340723,103.964767
1.34072,103.964767
1.340718,103.964767
1.340715,103.964767
1.340712,103.964775
1.340707,103.964775
1.340704,103.964775
1.340701,103.964775
1.340699,103.964775
1.340696,103.964775
1.340693,103.964775
1.34069,103.964775
1.340688,103.964783
1.340685,103.964783
1.340682,103.964783
1.340679,103.964783
1.340674,103.964783
1.340671,103.964783
1.340668,103.96479
1.340665,103.96479
1.340662,103.96479
1.34066,103.96479
1.340657,103.96479
1.340655,103.96479
1.340652,103.96479
1.340649,103.964798
1.340647,103.964798
1.340644,103.964798
1.340641,103.964798
1.340639,103.964798
1.340636,103.964806
1.340634,103.964806
1.340631,103.964806
1.340629,103.964806
1.340626,103.964806
1.340624,103.964813
1.340622,103.964813
1.340619,103.964813
1.340616,103.964813
1.340614,103.964813
1.340611,103.964821
1.340609,103.964821
1.340606,103.964821
1.340604,103.964821
1.340602,103.964828
1.340599,103.964828
1.340597,103.964828
1.340595,103.964828
1.340592,103.964836
1.34059,103.964836
1.340585,103.964844
1.340583,103.964844
1.34058,103.964844
1.340578,103.964844
1.340575,103.964851
1.340572,103.964851
1.340569,103.964851
1.340567,103.964859
1.340564,103.964859
1.340562,103.964859
1.34056,103.964859
1.340558,103.964867
1.340555,103.964867
1.340553,103.964867
1.340551,103.964874
1.340549,103.964874
1.340547,103.964874
1.340545,103.964882
1.340543,103.964882
1.340541,103.964882
1.340538,103.964882
1.340536,103.96489
1.340534,103.96489
1.340532,103.96489
1.34053,103.964897
1.340528,103.964897
1.340526,103.964897
1.340523,103.964905
1.340522,103.964905
1.340521,103.964905
1.340519,103.964912
1.340517,103.964912
1.340515,103.964912
1.340513,103.96492
1.340511,103.96492
1.34051,103.96492
1.340508,103.964928
1.340507,103.964928
1.340505,103.964928
1.340504,103.964935
1.340502,103.964935
1.3405,103.964935
1.340499,103.964943
1.340496,103.964943
1.340494,103.964951
1.340493,103.964951
1.340491,103.964951
1.34049,103.964958
1.340489,103.964958
1.340487,103.964958
1.340485,103.964966
1.340484,103.964966
1.340481,103.964973
1.34048,103.964973
1.340479,103.964981
1.340477,103.964981
1.340475,103.964989
1.340474,103.964989
1.340472,103.964996
1.340471,103.964996
1.34047,103.964996
1.340469,103.965004
1.340467,103.965004
1.340466,103.965012
1.340465,103.965012
1.340464,103.965019
1.340463,103.965019
1.340462,103.965027
1.340461,103.965027
1.34046,103.965034
1.340459,103.965034
1.340458,103.965042
1.340457,103.965042
1.340456,103.965042
1.340456,103.96505
1.340454,103.96505
1.340453,103.965057
1.340452,103.965057
1.340451,103.965065
1.34045,103.965073
1.340449,103.965073
1.340448,103.965073
1.340448,103.96508
1.340447,103.96508
1.340447,103.965088
1.340446,103.965088
1.340446,103.965096
1.340445,103.965096
1.340445,103.965103
1.340444,103.965103
1.340444,103.965111
1.340444,103.965118
